Card Name,List Name,Labels,Card Description
"[DONE] Remove client-side Claude API key fallback","Phase 1","Done","Completed Feb 8 2026. @anthropic-ai/sdk removed from package.json. All testimony generation goes through /api/generate-testimony proxy. Only a test script (src/scripts/test-generation.cjs) still references SDK which is acceptable."
"[DONE] Fix ESLint to lint TypeScript files","Phase 1","Done","Completed Feb 8 2026. eslint.config.js targets *.{js,jsx,ts,tsx}. @typescript-eslint/parser and @typescript-eslint/eslint-plugin v8.54 installed."
"[DONE] Add Vite path alias (@)","Phase 1","Done","Completed Feb 8 2026. vite.config.js has resolve.alias @ pointing to src/. Matches tsconfig.json."
"[DONE] Restrict CORS on all API functions","Phase 1","Done","Completed Feb 8 2026. All 7 functions in functions/api/ restricted to https://lightning-dni.pages.dev. No wildcard * origins."
"[DONE] Add CI/CD pipeline (GitHub Actions)","Phase 1","Done","Completed Feb 8 2026. .github/workflows/ci.yml runs npm ci, build, type-check, test:run on push to main and PRs."
"[DONE] Clean up root directory","Phase 1","Done","Completed Feb 8 2026. Moved 32 HTML mockups to docs/mockups/, moved logos to public/, deleted empty files. Root now has 19 organized items."
"[DONE] Consolidate duplicate toast files","Phase 1","Done","Completed Feb 8 2026. Deleted toast.ts (was a re-export shim). Single toast.tsx (225 lines) with showSuccess, showError, showLoading, etc."
"[DONE] Server-side rate limiting (generate-testimony, stripe)","Phase 1","Done","Completed Feb 8 2026. _rateLimit.ts utility created. generate-testimony.ts (10/min), stripe-checkout.ts (5/min), stripe-portal.ts (10/min) all protected."
"[DONE] Decompose App.tsx (Phase 3 refactoring)","Phase 1","Done","Completed Feb 8 2026. App.tsx reduced from 1978 to 112 lines. Extracted AppContext (892 lines), SettingsMenu (312 lines), AppLayout (228 lines)."
"[DONE] Enable RLS on all Supabase tables","Phase 1","Done","Completed Feb 9 2026. All 46 tables have RLS enabled. Permissive policies first, then tightened table by table. Helper functions: get_user_id(), is_group_member(), is_server_member(), etc."
"[DONE] Clerk-Supabase JWT integration","Phase 1","Done","Completed Feb 9 2026. Native Clerk-Supabase Third-Party Auth integration. supabase.ts updated with accessToken callback. RLS policies use auth.jwt()->>'sub' for Clerk user ID."
"[DONE] Extract hooks from god components","Phase 1","Done","Completed Feb 8 2026. useMessages (555 lines), useNewChat (91 lines), useGroupManagement, useGroupChat, useGroupMembers, useChannelMessages (666 lines), useServerState (522 lines) all extracted."
"[DONE] Church creation and join flow","Phase 1","Done","createChurch() and joinChurchByCode() both fully implemented in src/lib/database/churches.ts. Invite code validation, membership handling, and error handling all present."
"[DONE] Cross-church feed","Phase 1","Done","getFeedTestimonies() merges church testimonies + cross-church friend testimonies. Friends' testimonies visible if marked 'all_churches' or 'shareable' visibility."
